"restaurantID","name","type","total_ordered","num_orders","longitude","latitude","first_order_date"
51,Chez Marie jeanne ,Informel,328925.00,41,-4.0026592,5.3218655,"2023-10-02"
52,Ô Resto,Semi-Formel,177570.00,9,-3.9992199,5.3341783,"2023-10-02"
53,Le Singulier,Semi-Formel,717970.00,29,-4.0047812,5.3397560,"2023-10-02"
54,Mémé Victoire,Informel,474675.00,16,-4.0038109,5.3414805,"2023-10-02"
55,Alasco Blockhauss,Informel,937900.00,109,-4.0040524,5.3227515,"2023-10-02"
56,Silver Food,Informel,935750.00,136,-4.0025918,5.3218570,"2023-10-02"
57,Chez Tata Lina,Informel,43300.00,5,-4.0028087,5.3216327,"2023-10-02"
58,Espace Djouman,Informel,81450.00,9,-4.0039176,5.3229279,"2023-10-02"
59,Le Bon Goût,Informel,71695.00,5,-4.0025282,5.3214450,"2023-10-02"
60,Ferme Lagunaire,Informel,3113650.00,157,-4.0028550,5.3212767,"2023-10-02"
61,Chez Zeinab,Semi-Formel,1251740.00,71,,,"2023-10-02"
62,Les Etoiles,Semi-Formel,2365585.00,136,-4.0009380,5.3424657,"2023-10-02"
63,Speedy Burger,Semi-Formel,3430200.00,110,-4.0025204,5.3399526,"2023-10-02"
64,Pedro,Semi-Formel,192575.00,11,-4.0027561,5.3215200,"2023-10-02"
65,Bledis,Informel,11100.00,2,-4.0028550,5.3212767,"2023-10-02"
66,Ferme Villageoise,Informel,60275.00,6,-4.0010226,5.3274667,"2023-10-02"
67,Cisca,Semi-Formel,66485.00,5,-4.0015908,5.3260472,"2023-10-02"
68,Mister Brochette,Semi-Formel,7900.00,1,-3.9999033,5.3379943,"2023-10-02"
69,Mum's,Formel,781900.00,52,-4.0011865,5.3276680,"2023-10-02"
70,Saveurs d'Ici,Semi-Formel,787350.00,109,-4.0028095,5.3220790,"2023-10-02"
71,Bruno,Informel,2741085.00,136,-4.0027740,5.3216516,"2023-10-02"
73,Chez Gabriel,Formel,23775.00,2,-4.0026998,5.3475892,"2023-10-02"
74,Pyken,Informel,1423130.00,82,-3.9953413,5.3387788,"2023-10-02"
75,Chez Mme Vanié,Informel,1647330.00,60,-3.9959178,5.3382931,"2023-10-02"
76,Lotus,Semi-Formel,47000.00,13,-4.0018212,5.3259257,"2023-10-02"
77,Marine,Semi-Formel,24700.00,2,-4.0045535,5.3219165,"2023-10-02"
78,Under The Tree,Semi-Formel,4112775.00,68,-3.9772684,5.3395761,"2023-10-02"
79,Chez Lydie,Informel,47025.00,6,-4.0011268,5.3457061,"2023-10-02"
80,Espace Poya,Semi-Formel,16900.00,3,-3.9973765,5.3474446,"2023-10-02"
81,Amitié,Semi-Formel,843390.00,97,-4.0026960,5.3215842,"2023-10-02"
82,La Marine,Semi-Formel,407650.00,38,-4.0045535,5.3219165,"2023-10-02"
83,Chez Valérie,Semi-Formel,12050.00,3,-4.0045535,5.3219165,"2023-10-02"
84,Chez Mohamed,Informel,148600.00,10,-3.9996720,5.3463238,"2023-10-02"
85,Les Gazas,Semi-Formel,210137.00,42,-4.0016238,5.3219115,"2023-10-02"
87,Beverly Hills,Formel,742325.00,20,-3.9546518,5.3510265,"2023-10-02"
88,Belle Saveur,Semi-Formel,1700.00,1,-3.9972576,5.3471435,"2023-10-02"
89,Bella Vita,Semi-Formel,1250.00,1,-4.0031177,5.3216918,"2023-10-02"
90,Coffee Shop Factory,Formel,144650.00,16,-3.9983713,5.3391559,"2023-10-02"
91,Chez Hassan,Semi-Formel,394100.00,6,-3.9775059,5.3394744,"2023-10-02"
92,Bon Pasteur,Semi-Formel,252700.00,14,-3.9551019,5.3511657,"2023-10-02"
93,Choukouya Ivoire,Semi-Formel,644000.00,33,-3.9548495,5.3511754,"2023-10-02"
94,Abass RTI,Semi-Formel,309500.00,22,-4.0027332,5.3417913,"2023-10-02"
95,Africafé,Formel,8970875.00,191,-4.0004529,5.3385145,"2023-10-02"
96,Chap Chap,Formel,198400.00,16,-3.9543866,5.3497729,"2023-10-02"
97,Kaboré,Informel,707500.00,45,-4.0019012,5.3234528,"2023-10-02"
98,Espace 2,Informel,492125.00,34,-3.9776492,5.3513801,"2023-10-02"
99,Chez Ninin,Informel,1050.00,1,-3.9777447,5.3517208,"2023-10-02"
100,Chez Mme Kore,Informel,248000.00,25,,,"2023-10-02"
102,Chez Jatrophar,Informel,19000.00,2,-4.0027604,5.3221334,"2023-10-02"
103,O'Piqué,Semi-Formel,2129550.00,100,-3.9550336,5.3511649,"2023-10-02"
104,Chez Maman Ely,Informel,18500.00,1,-3.9768880,5.3519121,"2023-10-02"
105,Chez Vero,Informel,12240.00,2,-4.0014400,5.3264200,"2023-10-02"
106,Boucherie Fine,Formel,80450.00,6,-3.9579652,5.3566690,"2023-10-02"
107,Resto Whatsapp Cave,Semi-Formel,10650.00,1,5.3476822,-3.9762545,"2023-10-02"
108,Chez Gilbert,Informel,104500.00,5,-3.9762947,5.3473988,"2023-10-02"
109,Chez Maazou,Informel,922650.00,71,-4.0027156,5.3223156,"2023-10-02"
110,Maman Patience,Informel,1812500.00,135,-3.9775536,5.3515826,"2023-10-02"
111,Dabali Express Riviera 2,Formel,53785.00,1,-3.9777021,5.3528287,"2023-10-02"
112,Chez Ibrahim,Informel,309100.00,31,,,"2023-10-02"
113,Food Court,Semi-Formel,211098.00,18,-3.9773281,5.3923102,"2023-10-02"
114,La Base,Semi-Formel,176400.00,3,,,"2023-10-02"
115,Chez Zaré,Informel,105000.00,1,,,"2023-10-02"
116,Chez Abou,Informel,49700.00,4,,,"2023-10-02"
117,Jardin du Marché,Semi-Formel,439100.00,14,,,"2023-10-02"
118,Chez Fatou,Informel,3050.00,1,,,"2023-10-02"
119,Bouchée Royale,Semi-Formel,79700.00,2,,,"2023-10-02"
120,Ramatou,Informel,217150.00,26,-3.9758828,5.3511817,"2023-10-02"
121,Chez Mme Fall,Informel,1724700.00,115,-3.9768932,5.3525638,"2023-10-02"
122,Chez Souley Riviéra 2,Informel,1321000.00,62,-3.9762435,5.3474573,"2023-10-02"
123,Porc Africain,Informel,776750.00,58,-3.9763179,5.3477663,"2023-10-02"
124,Chez Mme Sylla,Informel,1540945.00,101,,,"2023-10-02"
125,Quick Burger,Formel,840750.00,83,-3.9547708,5.3512887,"2023-10-02"
126,Allocodrome de la 2,Informel,22000.00,1,-3.9767325,5.3521996,"2023-10-02"
127,Mme Koussi,Informel,1552625.00,66,,,"2023-10-02"
128,Chez Cécile,Informel,202500.00,6,,,"2023-10-02"
129,Chez Christine,Informel,19850.00,6,,,"2023-10-02"
130,Salon de The d'Anono,Informel,783600.00,44,-3.9735155,5.3464298,"2023-10-02"
131,Dizlo,Informel,2390700.00,105,,,"2023-10-02"
132,Au Vegas,Informel,51700.00,4,,,"2023-10-02"
133,Chez Mme Besse,Informel,519250.00,27,,,"2023-10-02"
134,Miss Zahui,Informel,108800.00,1,,,"2023-10-02"
135,Chez Solange,Informel,356200.00,49,,,"2023-10-02"
136,Chez Bouba,Informel,193500.00,50,,,"2023-10-02"
137, KIMAAT SARLU,Semi-Formel,120400.00,2,,,"2023-10-02"
138,Chez Ablo,Semi-Formel,31600.00,4,,,"2023-10-02"
168,Chez Larissa,Informel,49052.00,15,,,"2023-10-02"
169,Chez Luciano,Informel,790250.00,61,,,"2023-10-02"
170,Chez Daniel,Informel,69100.00,3,,,"2023-10-02"
171,Bon Poulet,Informel,646000.00,20,,,"2023-10-02"
172,Chez Fery Poulet,Informel,4650.00,1,,,"2023-10-02"
173,Maman Anne,Informel,362700.00,21,-3.9768872,5.3524133,"2023-10-02"
174,Chez Carmen,Informel,16000.00,1,,,"2023-10-02"
175,Mme Yapo,Informel,2000.00,1,,,"2023-10-02"
176,Chez Emmanuelle,Informel,303610.00,51,,,"2023-10-02"
177,Chez Mme Kouassi,Informel,630885.00,68,,,"2023-10-02"
178,Carmelle,Informel,819550.00,49,-3.9768872,5.3524133,"2023-10-02"
179,Maman Awa,Informel,211040.00,77,,,"2023-10-02"
180,Chez Maman de Junior,Informel,10850.00,4,,,"2023-10-02"
181,Chez Bernadette,Informel,32550.00,3,,,"2023-10-02"
182,Chez Chantal,Informel,125700.00,22,,,"2023-10-02"
183,Chez Hélène,Informel,5050.00,2,,,"2023-10-02"
184,Chez Maadou,Informel,7100.00,2,,,"2023-10-02"
185,Chez Adja,Informel,19000.00,3,,,"2023-10-02"
186,Dycoco,Formel,255915.00,33,-3.9968306,5.3488576,"2023-10-02"
187,Chez Mme Sita,Informel,22290.00,2,,,"2023-10-02"
188,Chez Aramatou,Informel,57500.00,3,-3.9758828,5.3511817,"2023-10-02"
189,Espace Bleu,Semi-Formel,50550.00,3,,,"2023-10-02"
190,Chez Ousmane,Semi-Formel,67800.00,12,,,"2023-10-02"
191,Chez Cathérine,Semi-Formel,259100.00,21,,,"2023-10-02"
201,Kiosque de Rebecca,Informel,284500.00,56,-3.9555350,5.3297140,"2023-10-02"
